b0	b1	k0	k1
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
113.55	117.55	-1.9744	-1.9551
111.97	117.60	-1.9185	-1.9557
113.46	117.67	-1.9559	-1.9568
112.88	117.74	-1.9352	-1.9580
112.62	117.78	-1.9234	-1.9582
112.82	117.82	-1.9306	-1.9576
112.82	117.89	-1.9306	-1.9573
112.70	117.97	-1.9260	-1.9574
112.71	118.07	-1.9261	-1.9579
112.85	118.20	-1.9295	-1.9588
112.87	118.35	-1.9238	-1.9601
112.77	118.53	-1.9208	-1.9618
112.93	118.73	-1.9256	-1.9638
113.72	118.95	-1.9495	-1.9663
114.00	119.20	-1.9257	-1.9693
114.03	119.48	-1.9261	-1.9727
114.27	119.79	-1.9306	-1.9766
114.82	120.12	-1.9468	-1.9810
115.14	120.49	-1.9507	-1.9858
115.60	120.88	-1.9592	-1.9911
115.81	121.30	-1.9541	-1.9970
116.21	121.76	-1.9575	-2.0034
116.79	122.25	-1.9695	-2.0103
117.31	122.77	-1.9822	-2.0178
117.69	123.32	-1.9832	-2.0259
118.36	123.91	-1.9947	-2.0345
118.68	124.53	-1.9788	-2.0444
119.22	125.19	-1.9917	-2.0541
119.71	125.88	-2.0009	-2.0647
120.32	126.61	-2.0133	-2.0753
121.37	127.37	-2.0291	-2.0869
122.40	128.17	-2.0555	-2.0993
123.03	129.02	-2.0622	-2.1123
123.83	129.90	-2.0763	-2.1259
124.63	130.83	-2.0904	-2.1404
125.36	131.79	-2.0920	-2.1554
126.30	132.80	-2.1169	-2.1716
127.35	133.84	-2.1186	-2.1880
128.30	134.94	-2.1436	-2.2055
129.29	136.07	-2.1461	-2.2238
130.65	137.24	-2.1718	-2.2427
131.60	138.47	-2.1897	-2.2623
132.73	139.73	-2.2029	-2.2826
134.18	141.05	-2.2311	-2.3040
135.35	142.41	-2.2471	-2.3258
136.82	143.81	-2.2618	-2.3490
138.24	145.27	-2.2906	-2.3726
139.84	146.77	-2.3132	-2.3966
141.02	148.33	-2.3488	-2.4215
142.66	149.93	-2.3758	-2.4475
144.19	151.59	-2.4008	-2.4747
145.92	153.30	-2.4345	-2.5025
147.42	155.06	-2.4630	-2.5311
149.26	156.87	-2.4868	-2.5609
151.10	158.74	-2.5228	-2.5921
152.53	160.66	-2.5386	-2.6236
154.12	162.65	-2.5605	-2.6565
155.70	164.69	-2.5813	-2.6902
157.68	166.77	-2.6158	-2.7246
159.61	168.93	-2.6453	-2.7603
161.23	171.14	-2.6565	-2.7973
163.48	173.40	-2.7055	-2.8345
165.47	175.73	-2.7329	-2.8730
167.17	178.12	-2.7509	-2.9129
169.01	180.58	-2.7858	-2.9534
171.11	183.10	-2.8154	-2.9956
173.26	185.70	-2.8494	-3.0397
175.84	188.33	-2.8439	-3.0849
178.62	191.04	-2.6617	-3.1352
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
0.00	0.00	0.0000	0.0000
